,Производитель,Модель,Ширина,Профиль,"Диаметр, R",Индекс скорости,Индекс нагрузки,Цена,Производитель_числ,Индекс скорости_числ
309,Bridgestone,Blizzak LM005,205.0,65.0,16.0,H,95.0,15880.0,16.0,0.0
310,Bridgestone,Blizzak LM001,215.0,65.0,17.0,H,99.0,12020.0,16.0,0.0
311,Yokohama,iceGUARD IG50 +,225.0,60.0,17.0,Q,99.0,9967.0,7.0,9.0
312,Yokohama,iceGUARD IG50 +,205.0,60.0,16.0,Q,96.0,7600.0,7.0,9.0
313,Yokohama,iceGUARD IG50 +,215.0,55.0,17.0,Q,94.0,10920.0,7.0,9.0
314,Bridgestone,Blizzak Spike-02,225.0,55.0,17.0,T,101.0,15030.0,16.0,5.0
315,Bridgestone,Blizzak Spike-02,205.0,60.0,16.0,T,92.0,9730.0,16.0,5.0
316,Bridgestone,Blizzak Spike-02,235.0,45.0,17.0,T,94.0,16230.0,16.0,5.0
317,Bridgestone,Blizzak Spike-02,195.0,50.0,15.0,T,82.0,9820.0,16.0,5.0
318,Bridgestone,Blizzak VRX,235.0,50.0,18.0,S,97.0,19690.0,16.0,7.0
319,Nankang,ICE1,245.0,40.0,18.0,Q,97.0,8490.0,33.0,9.0
320,Bridgestone,Blizzak DM-V2,255.0,55.0,20.0,T,110.0,22740.0,16.0,5.0
321,Bridgestone,Blizzak Spike-02,225.0,55.0,17.0,T,101.0,15030.0,16.0,5.0
322,Bridgestone,Blizzak Spike-02,205.0,60.0,16.0,T,92.0,9730.0,16.0,5.0
